epoch,tra_loss,val_loss,tra_dice,val_dice,tra_batch_dice,val_batch_dice
0,0.5479,0.2934,0.0234,0.2319,0.0234,0.2319
1,0.2201,0.1641,0.0000,0.3062,0.0000,0.3062
2,0.1308,0.1042,0.0740,0.4240,0.0740,0.4240
3,0.0857,0.0721,0.2813,0.4963,0.2813,0.4963
4,0.0612,0.0560,0.3889,0.5186,0.3889,0.5186
5,0.0465,0.0440,0.4592,0.5261,0.4592,0.5261
6,0.0381,0.0370,0.4622,0.5467,0.4622,0.5467
7,0.0308,0.0325,0.5359,0.5899,0.5359,0.5899
8,0.0262,0.0345,0.5777,0.5378,0.5777,0.5378
9,0.0226,0.0313,0.6005,0.5622,0.6005,0.5622
10,0.0202,0.0361,0.6211,0.5790,0.6211,0.5790
11,0.0179,0.0571,0.6415,0.2959,0.6415,0.2959
12,0.0162,0.0372,0.6689,0.5193,0.6689,0.5193
13,0.0144,0.0397,0.6880,0.4970,0.6880,0.4970
14,0.0132,0.0469,0.7146,0.3993,0.7146,0.3993
15,0.0125,0.0340,0.7197,0.5536,0.7197,0.5536
16,0.0109,0.0332,0.7555,0.5374,0.7555,0.5374
17,0.0108,0.0380,0.7392,0.5083,0.7392,0.5083
18,0.0101,0.0392,0.7506,0.5479,0.7506,0.5479
19,0.0096,0.0399,0.7734,0.6031,0.7734,0.6031
20,0.0089,0.0355,0.7975,0.5966,0.7975,0.5966
21,0.0087,0.0380,0.7842,0.5573,0.7842,0.5573
22,0.0087,0.0446,0.7873,0.5221,0.7873,0.5221
23,0.0081,0.0402,0.8041,0.5137,0.8041,0.5137
24,0.0081,0.0446,0.8006,0.5377,0.8006,0.5377
25,0.0076,0.0347,0.8169,0.5999,0.8169,0.5999
26,0.0072,0.0418,0.8185,0.5838,0.8185,0.5838
27,0.0073,0.0407,0.8155,0.5594,0.8155,0.5594
28,0.0069,0.0431,0.8175,0.5027,0.8175,0.5027
29,0.0068,0.0373,0.8370,0.5708,0.8370,0.5708
30,0.0066,0.0370,0.8380,0.6057,0.8380,0.6057
31,0.0063,0.0385,0.8399,0.5488,0.8399,0.5488
32,0.0064,0.0565,0.8333,0.4945,0.8333,0.4945
33,0.0062,0.0371,0.8358,0.5039,0.8358,0.5039
34,0.0061,0.0494,0.8482,0.4942,0.8482,0.4942
35,0.0061,0.0409,0.8467,0.4986,0.8467,0.4986
36,0.0059,0.0429,0.8458,0.4984,0.8458,0.4984
37,0.0057,0.0411,0.8559,0.6132,0.8559,0.6132
38,0.0053,0.0511,0.8798,0.5254,0.8798,0.5254
39,0.0055,0.0425,0.8501,0.5898,0.8501,0.5898
40,0.0052,0.0427,0.8670,0.5849,0.8670,0.5849
41,0.0053,0.0423,0.8529,0.6110,0.8529,0.6110
42,0.0051,0.0409,0.8729,0.5603,0.8729,0.5603
43,0.0049,0.0533,0.8722,0.4835,0.8722,0.4835
44,0.0051,0.0418,0.8617,0.5352,0.8617,0.5352
45,0.0048,0.0402,0.8844,0.5697,0.8844,0.5697
46,0.0053,0.0407,0.8714,0.5178,0.8714,0.5178
47,0.0051,0.0469,0.8819,0.5093,0.8819,0.5093
48,0.0048,0.0459,0.8858,0.5528,0.8858,0.5528
49,0.0044,0.0457,0.8875,0.5218,0.8875,0.5218
50,0.0046,0.0528,0.8748,0.5722,0.8748,0.5722
51,0.0044,0.0474,0.8773,0.6004,0.8773,0.6004
52,0.0043,0.0501,0.8970,0.5478,0.8970,0.5478
53,0.0043,0.0529,0.8933,0.5868,0.8933,0.5868
54,0.0046,0.0574,0.8856,0.4867,0.8856,0.4867
55,0.0043,0.0451,0.8871,0.5725,0.8871,0.5725
56,0.0040,0.0563,0.9032,0.5359,0.9032,0.5359
57,0.0039,0.0489,0.9003,0.5322,0.9003,0.5322
58,0.0041,0.0506,0.8947,0.5098,0.8947,0.5098
59,0.0044,0.0486,0.8773,0.5471,0.8773,0.5471
60,0.0040,0.0523,0.9095,0.4920,0.9095,0.4920
61,0.0039,0.0500,0.9059,0.5185,0.9059,0.5185
62,0.0038,0.0481,0.8985,0.5272,0.8985,0.5272
63,0.0038,0.0519,0.9094,0.5403,0.9094,0.5403
64,0.0038,0.0517,0.9071,0.5061,0.9071,0.5061
65,0.0037,0.0528,0.9197,0.5311,0.9197,0.5311
66,0.0037,0.0529,0.9061,0.5414,0.9061,0.5414
67,0.0036,0.0493,0.9075,0.4899,0.9075,0.4899
68,0.0038,0.0637,0.9018,0.3424,0.9018,0.3424
69,0.0039,0.0545,0.9029,0.5140,0.9029,0.5140
70,0.0035,0.0516,0.9149,0.6056,0.9149,0.6056
71,0.0034,0.0541,0.9201,0.5145,0.9201,0.5145
72,0.0034,0.0516,0.9155,0.5295,0.9155,0.5295
73,0.0034,0.0511,0.9153,0.5808,0.9153,0.5808
74,0.0033,0.0561,0.9210,0.4576,0.9210,0.4576
75,0.0035,0.0543,0.9097,0.4751,0.9097,0.4751
76,0.0034,0.0507,0.9125,0.5188,0.9125,0.5188
77,0.0033,0.0570,0.9173,0.5660,0.9173,0.5660
78,0.0033,0.0537,0.9211,0.4613,0.9211,0.4613
79,0.0033,0.0634,0.9131,0.4661,0.9131,0.4661
80,0.0032,0.0544,0.9269,0.5263,0.9269,0.5263
81,0.0031,0.0673,0.9177,0.3814,0.9177,0.3814
82,0.0032,0.0541,0.9211,0.4850,0.9211,0.4850
83,0.0031,0.0556,0.9282,0.5537,0.9282,0.5537
84,0.0031,0.0523,0.9276,0.5906,0.9276,0.5906
85,0.0031,0.0544,0.9342,0.5331,0.9342,0.5331
86,0.0031,0.0564,0.9174,0.4628,0.9174,0.4628
87,0.0031,0.0567,0.9240,0.5519,0.9240,0.5519
88,0.0029,0.0598,0.9245,0.5439,0.9245,0.5439
89,0.0029,0.0554,0.9306,0.4829,0.9306,0.4829
90,0.0029,0.0641,0.9351,0.5331,0.9351,0.5331
91,0.0028,0.0558,0.9325,0.4649,0.9325,0.4649
92,0.0028,0.0566,0.9344,0.5459,0.9344,0.5459
93,0.0030,0.0562,0.9224,0.4674,0.9224,0.4674
94,0.0029,0.0600,0.9196,0.5221,0.9196,0.5221
95,0.0029,0.0576,0.9337,0.5876,0.9337,0.5876
96,0.0028,0.0576,0.9322,0.5424,0.9322,0.5424
97,0.0027,0.0519,0.9381,0.5420,0.9381,0.5420
98,0.0026,0.0620,0.9413,0.5340,0.9413,0.5340
99,0.0026,0.0562,0.9296,0.4381,0.9296,0.4381
